                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.98383,                0.59597,                0.63715,                0.62931,                0.51049,                0.51588,                0.32667,                 0.9454,                0.56779,                0.63678,                0.00855,                0.00855,                0.00855
                     60,                0.99329,                0.60193,                0.64059,                0.71094,                0.47499,                0.52733,                0.32978,                0.93807,                0.57102,                 0.6357,               0.008525,               0.008525,               0.008525
                     61,                 0.9825,                0.59404,                0.63745,                 0.6144,                0.47719,                0.49807,                0.32166,                0.94597,                0.57241,                0.63679,                 0.0085,                 0.0085,                 0.0085
                     62,                0.97529,                0.58528,                0.63621,                0.64968,                0.47708,                0.51646,                0.33413,                0.94443,                0.56798,                0.63205,               0.008475,               0.008475,               0.008475
                     63,                 0.9804,                0.59188,                0.63465,                0.68451,                0.49449,                0.53466,                0.33914,                0.94066,                0.56553,                0.63332,                0.00845,                0.00845,                0.00845
                     64,                0.97904,                 0.5916,                0.63486,                0.72528,                0.47964,                0.54375,                0.34284,                0.95076,                0.56634,                0.63423,               0.008425,               0.008425,               0.008425
                     65,                0.97709,                0.58696,                0.63504,                0.73724,                0.48215,                0.53269,                0.34723,                0.94526,                0.55953,                0.63379,                 0.0084,                 0.0084,                 0.0084
                     66,                0.96917,                0.58516,                0.63401,                0.73168,                0.48413,                0.54143,                0.34058,                0.93544,                0.55998,                0.63116,               0.008375,               0.008375,               0.008375
                     67,                0.97628,                0.58719,                 0.6352,                0.75323,                0.47229,                0.53225,                0.34957,                0.94296,                0.56199,                0.63446,                0.00835,                0.00835,                0.00835
                     68,                0.97041,                 0.5824,                0.63483,                0.72267,                0.45882,                0.53002,                0.34245,                 0.9331,                0.56236,                0.63331,               0.008325,               0.008325,               0.008325
